DR Number,Victim Age,Victim Sex,Victim Descent
130111748,52,F,W
130111772,51,M,B
130111795,27,F,H
130111889,45,M,H
130111833,23,M,B
130111835,29,M,H
130111839,32,F,H
130111859,28,M,H
130111882,29,M,H
130111890,57,M,H
130111967,35,F,H
130111976,48,F,B
130112034,27,M,H
130112084,54,F,O
130112092,48,M,W
130112122,58,M,O
130112129,32,M,H
130112151,41,F,H
130112182,51,M,B
130112187,56,F,B
130112189,56,F,W
130112205,31,M,W
130112206,54,M,O
130112207,26,M,W
130112222,46,M,B
130112229,56,M,B
130112249,60,F,H
130112279,56,F,H
130112387,41,M,H
130112389,45,M,W
130112393,59,M,W
130112454,26,F,H
130112486,45,F,B
130112493,21,F,B
130112525,61,F,H
130112552,45,M,B
130112566,56,M,W
130112567,52,M,B
130112569,34,F,H
130112608,45,F,H
130112617,51,M,H
130112619,39,F,H
130112656,50,M,H
130112660,23,M,W
130112691,30,F,B
130112698,60,M,B
130112703,56,M,H
130112716,28,F,O
130112721,53,M,W
130112723,53,F,O
130112724,60,F,H
130112725,31,F,W
130112726,28,F,H
130112732,48,M,W
130112747,24,M,W
130112749,29,M,W
130112799,60,M,H
130112858,35,F,B
130112870,64,M,H
130112881,29,M,H
130112882,34,M,W
130112901,43,M,H
130112913,34,F,W
130113057,34,F,H
130113083,34,M,B
130113088,55,M,B
130113119,25,M,H
130113120,27,F,H
130113160,47,M,H
130113227,44,M,W
130113232,24,F,W
130113267,30,F,B
130113277,24,F,O
130113286,52,M,W
130113336,49,F,W
130113343,42,F,B
130113374,31,F,B
130113397,41,F,H
130113405,57,F,H
130113429,56,F,O
130113434,59,M,B
130113465,45,F,H
130113466,19,F,B
130113475,35,M,B
130113500,50,M,B
130113503,34,F,B
130113519,52,M,H
130113574,15,F,H
130113580,43,M,B
130113582,29,F,H
130113594,26,M,B
130113599,45,F,B
130113614,52,M,B
130113617,52,F,B
130113619,46,M,W
130113646,43,M,W
130113648,72,M,B
130113653,65,M,B
130113748,26,F,H
130113799,27,F,W
130113836,27,F,H
130113914,27,M,A
130113926,34,M,H
130113935,61,M,W
130113994,39,M,B
130114007,46,M,W
130114037,32,M,H
130114045,45,F,W
130114046,20,F,W
130114047,18,F,W
130114123,38,F,B
130114126,54,M,H
130114149,53,M,H
130114150,31,F,B
130114154,35,M,W
130114155,58,F,O
130114159,39,M,B
130114160,35,M,B
130114172,47,F,W
130114206,24,M,H
130114222,43,F,O
130114240,59,M,B
130114296,41,M,W
130114330,40,M,B
130114341,76,F,H
130114342,26,F,H
130114359,21,M,H
130114361,26,M,W
130114369,52,F,W
130114402,27,M,B
130114405,21,M,W
130114407,23,M,W
130114422,47,M,H
130114441,31,F,H
130114458,54,M,B
130114467,21,F,H
130114483,74,M,B
130114520,52,M,B
130114568,55,M,B
130114613,24,F,B
130114641,23,M,H
130114659,52,M,B
130114660,23,M,H
130114708,50,M,B
130114724,54,M,W
130114740,55,M,O
130114743,66,F,W
130114744,41,M,H
130114751,46,M,B
130114752,23,M,B
130114841,31,M,H
130114852,34,M,W
130114875,65,M,B
130114892,41,M,B
130114950,28,M,W
130114956,55,M,B
130114972,12,F,B
130114983,29,M,W
130115002,46,F,B
130115017,51,M,H
130115039,50,F,H
130115080,21,F,W
130115090,35,F,W
130115095,33,F,W
130115105,23,M,H
130115106,23,M,H
130115115,56,F,H
130115116,46,M,B
130115126,32,M,W
130115181,35,F,H
130115193,66,M,H
130115194,34,M,B
130115198,26,F,B
130115201,48,M,H
130115202,55,M,B
130115207,67,M,B
130115272,23,M,B
130115273,48,M,B
130115329,23,M,H
130115332,53,M,B
130115333,50,F,A
130115350,21,M,B
130115362,23,M,B
130115369,50,F,H
130115370,23,F,H
130115372,63,M,H
130115381,42,M,B
130115390,24,F,O
130115391,27,M,B
130115392,40,F,F
130115393,47,F,B
130115455,35,M,O
130115467,12,M,W
130115479,53,M,O
130115480,42,F,H
130115493,64,M,H
130115510,39,F,B
130115544,30,M,O
130115563,54,M,O
130115622,57,M,B
130115623,48,M,B
130115662,66,M,B
130115674,35,F,A
130115681,51,F,W
130115725,50,M,H
130115733,44,M,B
130115744,43,M,W
130115747,39,M,H
130115759,31,M,B
130115770,27,F,B
130115826,29,M,H
130115827,32,M,H
130115828,44,F,H
130115832,53,M,O
130115840,59,M,B
130115925,47,M,B
130115934,43,M,B
130115946,26,F,J
130115950,31,M,A
130115968,26,M,W
130115975,30,F,B
130116014,18,F,W
130116060,20,F,W
130116080,33,F,W
130116162,45,M,B
130116175,56,M,B
130116211,56,F,B
130116213,29,F,H
130116214,22,F,H
130116215,26,M,B
130116262,24,F,B
130116268,45,M,W
130116269,34,F,B
130116295,23,F,H
130116305,55,M,B
130116361,53,M,I
130116371,56,M,O
130116381,56,F,H
130116383,46,M,B
130116385,28,M,W
130116391,24,M,W
130116402,58,M,H
130116404,62,M,B
130116408,55,M,B
130116409,55,M,B
130116410,34,M,H
130116416,28,M,B
130116418,22,M,W
130116447,16,M,B
130116451,36,F,W
130116515,38,M,H
130116529,50,M,B
130116655,30,F,H
130116534,34,M,H
130116555,19,M,H
130116572,21,F,B
130116582,56,M,O
130116589,47,M,H
130116600,22,M,O
130116603,43,M,W
130116605,26,F,H
130116618,59,M,H
130116637,65,M,W
130116639,46,M,H
130116685,26,F,B
130116686,62,M,O
130116687,18,M,H
130116704,47,F,H
130116714,28,M,O
130116717,26,M,H
130116721,52,M,W
130116722,48,F,B
130116726,19,M,H
130116751,63,M,B
130116772,52,F,W
130116856,54,F,W
130116867,39,F,B
130116872,49,M,B
130116876,50,F,B
130116917,47,M,H
130116928,50,M,B
130116987,40,M,B
130117011,19,F,H
130117014,43,M,B
130117047,45,F,H
130117048,53,M,B
130117049,46,M,B
130117050,41,F,H
130117071,64,M,H
130117098,54,F,H
130117123,54,F,B
130117126,18,M,H
130117141,27,F,B
130117184,52,M,B
130117354,27,F,H
130117269,29,M,W
130117291,41,F,O
130117295,47,F,W
130117303,49,M,H
130117307,31,F,B
130117337,54,F,W
130117379,63,M,W
130117506,42,M,W
130117528,45,F,H
130117530,29,F,W
130117562,40,M,A
130117572,23,M,B
130117591,67,F,W
130117593,65,M,W
130117599,74,M,B
130117630,12,M,W
130117631,12,M,H
130117640,56,F,W
130117691,49,F,H
130117697,45,F,B
130117745,47,M,H
130117765,30,M,H
130117771,33,F,H
130117772,23,M,B
130117773,25,M,B
130117774,25,F,B
130117775,23,M,H
130117776,34,M,H
130117784,49,F,H
130117833,43,M,B
130117835,10,M,B
130117836,38,M,W
130117845,40,F,B
130117876,45,M,B
130117884,48,M,B
130117937,55,M,B
130117940,49,M,B
130118000,26,F,O
130118010,56,F,O
130118011,40,F,H
130118024,39,F,H
130118026,27,F,O
130118070,63,M,H
130118095,34,M,H
130118110,34,M,W
130118180,45,M,H
130118182,58,F,B
130118183,37,M,B
130118190,20,F,H
130118193,46,M,B
130118232,45,M,B
130118266,43,M,W
130118320,39,M,W
130118331,39,F,H
130118416,47,M,H
130118419,56,F,W
130118420,36,M,H
130118459,48,M,B
130118462,50,M,B
130118473,18,F,H
130118488,32,M,H
130118502,24,F,O
130118504,48,F,B
130118506,47,M,W
130118507,42,M,W
130118528,29,M,H
130118529,29,M,H
130118530,31,M,H
130118540,34,M,H
130118543,32,F,O
130118558,61,M,W
130118577,57,F,W
130118622,51,F,B
130118625,30,F,B
130118627,21,M,H
130118639,47,M,B
130118643,22,F,A
130118649,37,F,B
130118651,40,M,H
130118658,48,M,B
130118692,23,M,H
130118697,44,M,H
130118728,20,M,H
130118729,28,M,B
130118730,58,F,B
130118825,59,M,W
130118828,24,M,W
130118878,24,F,O
130118880,46,M,B
130118948,34,M,B
130118973,57,M,B
130118974,55,F,B
130118994,53,M,B
130118995,49,F,W
130119009,20,F,H
130119060,74,F,O
130119068,69,M,H
130119084,29,M,W
130119089,66,M,B
130119091,33,M,W
130119095,77,M,B
130119109,42,M,K
130119113,45,M,B
130119121,40,F,B
130119160,47,M,B
130119190,48,M,B
130119246,38,M,W
130119278,32,F,H
130119349,55,M,B
130119365,75,M,B
130119398,51,M,H
130119414,22,M,H
130119428,48,M,W
130119448,26,M,H
130119473,26,F,O
130119520,25,M,H
130119526,35,F,B
130119541,29,M,B
130119544,68,F,B
130119548,17,M,H
130119550,41,M,H
130119560,30,F,B
130119581,51,M,W
130119590,38,M,H
130119597,47,F,B
130119615,56,F,H
130119640,31,F,O
130119676,25,F,B
130119699,30,M,H
130119744,50,M,B
130119772,48,M,W
130119865,19,F,B
130119891,46,M,H
130119892,41,M,H
130119895,34,M,H
130119902,56,M,B
130119909,56,M,B
130119912,36,M,B
130119913,23,F,W
130119920,24,M,H
130119935,23,M,H
130119984,50,M,W
130119996,46,M,B
130120013,48,M,W
130120014,51,M,B
130120019,43,M,H
130120037,45,M,B
130120041,57,M,H
130120042,57,M,O
130120061,65,F,H
130120065,36,M,H
130120115,46,M,B
130120138,21,F,H
130120144,22,M,B
130120193,53,M,H
130120197,35,M,W
130120201,47,M,H
130120245,46,F,O
130120298,54,F,B
130120301,57,M,O
130120305,63,F,B
130120326,42,M,H
130120373,39,F,H
130120391,29,F,B
130120406,64,M,W
130120434,37,F,B
130120441,37,M,H
130120447,47,F,H
130120514,26,F,H
130120550,25,M,W
130120577,50,M,H
130120613,47,F,B
130120632,45,M,W
130120645,57,M,H
130120685,24,F,H
130120692,49,F,W
130120698,54,M,A
130120714,54,M,W
130120716,28,M,B
130120741,48,M,H
130120761,50,M,B
130120769,17,F,H
130120788,23,M,W
130120800,29,M,B
130120857,50,M,B
130120858,45,M,B
130120876,39,M,B
130120906,33,M,B
130120926,57,M,B
130120942,49,M,H
130120973,26,M,H
130121015,57,F,B
130121053,12,M,H
130121066,50,M,B
130121092,39,M,B
130121117,46,M,H
130121125,41,M,H
130121145,26,F,B
130121149,57,M,B
130121158,23,M,H
130121165,23,F,F
130121166,25,M,H
130121167,26,M,H
130121168,26,M,H
130121184,36,M,H
130121192,57,M,B
130121195,25,F,H
130121196,14,F,H
130121250,49,M,H
130121301,55,F,W
130121372,38,M,W
130121396,55,M,B
130121397,46,M,W
130121406,33,F,C
130121456,47,M,B
130121474,58,M,B
130121509,54,M,B
130121552,58,M,B
130121572,46,M,H
130121587,39,H,H
130121599,21,F,H
130121602,62,M,W
130121654,34,F,W
130121658,18,F,H
130121730,18,F,H
130121736,68,F,H
130121758,34,F,W
130121902,38,M,H
130121911,50,M,O
130121924,53,F,O
130121927,35,F,B
130121960,22,M,H
130121961,25,M,B
130121969,48,M,W
130121986,38,M,W
130121987,42,M,B
130121999,48,F,H
130122020,41,F,W
130122048,16,F,H
130122049,31,M,W
130122051,59,M,B
130122100,12,M,H
130122101,12,M,H
130122121,29,F,W
130122135,60,M,B
130122182,25,M,H
130122183,53,M,B
130122208,66,M,B
130122213,44,F,H
130122246,58,M,B
130122270,24,M,B
130122291,49,M,H
130122304,52,M,H
130122311,52,F,W
130122318,32,M,H
130122332,45,M,H
130122353,26,M,W
130122368,60,F,B
130122385,32,M,H
130122392,65,M,W
130122397,60,F,B
130122406,23,M,B
130122432,19,F,B
130122445,35,F,W
130122452,40,M,W
130122493,37,F,W
130122496,28,F,W
130122528,68,M,B
130122599,29,M,H
130122606,40,M,H
130122654,70,F,W
130122661,58,F,B
130122666,48,M,B
130122685,25,M,H
130122699,21,F,A
130122701,25,M,B
130122718,57,F,B
130122725,27,F,H
130122731,42,M,B
130122760,51,M,H
130122780,57,F,B
130122785,26,F,B
130122834,63,F,B
130122852,37,F,B
130122865,52,M,W
130122927,35,F,H
130123001,26,M,W
130123031,50,M,B
130123064,62,M,B
130123086,32,M,B
130123097,20,M,H
130123098,19,F,H
130123147,22,M,W
130123154,31,M,B
130123157,44,M,W
130123158,55,M,B
130123182,52,M,B
130123257,32,F,W
130123266,25,F,H
130123322,30,F,B
130123371,34,F,H
130123386,63,M,B
130123456,49,F,B
130123465,29,M,B
130123486,40,F,B
130123544,26,F,B
130123556,40,M,H
130123557,51,F,B
130123573,37,F,W
130123599,45,M,H
130123605,36,F,H
130123653,28,F,B
130123678,15,M,W
130123739,53,M,H
130123753,43,M,H
130123763,36,F,H
130123813,24,M,H
130123856,22,M,H
130123857,28,M,W
130123866,25,F,O
130123901,49,F,B
130123903,47,M,B
130123909,51,M,W
130123969,52,M,B
130123976,20,M,H
130123995,22,M,W
130123996,19,M,H
130124020,50,F,H
130124031,69,M,H
130124051,32,F,H
130124080,73,F,H
130124081,24,F,H
130124083,23,M,F
130124089,48,M,B
130124105,50,M,B
130124139,48,F,H
130124148,30,M,O
130124161,36,F,O
130124194,26,F,B
130124224,59,F,W
130124236,23,F,W
130124242,26,F,O
130124251,54,M,W
130124287,47,F,B
130124319,45,M,W
130124323,48,M,W
130124335,52,M,W
130124371,41,F,W
130124380,27,F,A
130124386,52,F,H
130124434,31,F,H
130124500,46,M,B
130124501,61,M,B
130124518,53,M,B
130124526,51,M,W
130124527,35,M,H
130124535,44,F,H
130124540,28,M,H
130124543,21,M,H
130124552,42,M,W
130124559,50,M,A
130124564,66,M,B
130124583,40,M,O
130124586,18,F,H
130124590,31,M,H
130124630,56,M,W
130124634,50,F,B
130124635,28,M,H
130124640,62,M,W
130124660,29,F,H
130124661,43,F,H
130124671,43,M,B
130124706,19,F,H
130124707,51,M,H
130124734,56,M,H
130124735,43,M,H
130124765,56,M,B
130124790,38,F,H
130124798,28,M,W
130124800,59,M,B
130124801,26,F,B
130124813,35,M,W
130124819,70,F,W
130124835,34,M,B
130124841,35,M,W
130124866,53,M,H
130124869,38,M,H
130124882,55,M,B
130124894,50,F,B
130124895,38,M,H
130124920,30,M,B
130124926,25,F,H
130124928,41,M,B
130124957,67,F,W
130125029,28,F,H
130125042,32,M,B
130125058,48,M,B
130125076,34,M,O
130125088,24,M,H
130125241,41,M,H
130125267,51,M,B
130125286,22,F,W
130125311,35,M,W
130125344,38,M,O
130125347,20,F,B
130125348,52,M,B
130125353,45,M,H
130125366,27,M,W
130125381,40,F,H
130125413,40,M,H
130125496,33,M,W
130125514,39,F,B
130125743,31,M,H
130125751,33,F,B
130125767,41,M,B
130125771,20,F,H
130125772,20,M,H
130125773,42,F,B
130125781,20,F,H
130125800,66,M,W
130125810,39,F,B
130125833,42,M,H
130125863,26,F,H
130125866,68,M,B
130125867,38,F,W
130125883,21,F,W
130125890,25,F,H
130125892,35,F,B
130125904,82,M,W
130125909,27,F,H
130125911,50,M,B
130125914,22,F,W
130125951,56,M,H
130125952,49,M,W
130125967,25,M,H
130125983,37,M,H
130125998,25,M,B
130126009,36,M,W
130126043,24,M,H
130126046,25,M,H
130126106,59,M,W
130126184,24,M,W
130126209,55,M,B
130126269,22,M,W
130126270,45,M,B
130126271,23,M,H
130126290,30,M,H
130126296,49,M,B
130126302,57,F,B
130126327,60,M,W
130126407,32,M,H
130126432,49,M,B
130126437,26,M,H
130126438,64,M,B
130126464,59,M,W
130126495,43,F,W
130126497,22,F,B
130126509,38,F,W
130126551,64,F,O
130126571,23,F,B
130126572,24,F,H
130126584,51,M,B
130126586,66,M,B
130126595,18,F,B
130126606,56,M,B
130126607,25,M,B
130126616,33,F,B
130126646,21,F,W
130126649,60,M,H
130126650,43,M,W
130200503,21,F,H
130200522,44,M,H
130200544,20,F,B
130200552,24,M,H
130200561,69,F,H
130200588,21,M,H
130200609,20,F,H
130200627,28,M,H
130200628,34,M,H
130200650,47,M,H
130200677,14,F,H
130200682,30,M,H
131320977,13,F,H
130200730,13,F,H
130200734,12,M,K
130204021,19,M,H
130204040,21,M,H
130204047,31,F,W
130204064,44,M,H
130204112,33,M,H
130204119,22,M,H
130204120,21,F,W
130204148,28,M,H
130204149,59,F,W
130204150,48,M,H
130204185,18,F,H
130204186,21,M,H
130204310,50,M,H
130204320,41,M,W
130204389,36,F,W
130204393,43,M,H
130204394,44,M,O
130204401,43,M,H
130204462,17,M,H
130204465,32,M,W
130204550,28,F,B
130204693,48,M,H
130204700,25,F,H
130204701,26,F,W
130204710,51,M,H
130204719,22,M,H
130204722,21,M,H
130204723,28,M,H
130204762,16,M,H
130204763,34,M,H
130204773,36,M,H
130204791,32,M,H
130204811,20,M,H
130204825,16,M,H
130204828,54,M,W
130204833,41,M,W
130204869,26,M,H
130204928,36,F,H
130204948,20,F,O
130204990,21,F,H
130205017,42,M,H
130205048,24,F,H
130205051,29,M,H
130205124,19,F,B
130205177,27,M,W
130205203,31,F,H
130205219,31,M,H
130205261,27,M,H
130205265,18,M,H
130205271,29,F,H
130205287,38,M,W
130205292,26,M,H
130205294,49,M,H
130205305,28,F,B
130205408,40,F,H
130205414,65,F,B
130205419,24,F,H
130205467,43,M,O
130205477,59,M,H
130205497,17,F,H
130205499,21,F,H
130205503,43,M,H
130205509,56,M,H
130205528,23,M,H
130205602,31,M,H
130205604,16,M,H
130205653,30,M,H
130205666,51,M,H
130205714,25,M,H
130205718,25,F,B
130205737,39,M,H
130205771,50,F,H
130205796,37,F,H
130205883,43,M,W
130205923,50,F,W
130205974,32,M,H
130205977,22,F,B
130205983,26,M,H
130205997,18,F,H
130206003,34,M,H
130206069,28,M,H
130206072,42,F,H
130206083,22,M,H
130206087,12,M,H
130206102,68,M,H
130206161,38,M,H
130206200,59,F,H
130206220,33,F,B
130206259,16,M,H
130206276,43,F,W
130206281,30,M,H
130206284,53,M,H
130206291,27,F,H
130206299,54,M,W
130206305,43,M,H
130206321,30,M,B
130206325,27,F,H
130206328,44,F,H
130206334,25,M,H
130206335,37,M,H
130206346,12,M,X
130206366,51,M,B
130206390,23,F,B
130206397,31,M,H
130206423,53,M,H
130206432,24,F,B
130206436,41,M,H
130206439,21,M,B
130206442,23,M,H
130206443,45,M,H
130206444,12,M,H
130206469,25,F,B
130206471,20,M,A
130206506,18,F,H
130206516,17,M,H
130206527,33,M,B
130206531,23,M,H
130206536,24,F,B
130206544,47,M,B
130206556,29,M,H
130206567,28,M,H
130206613,17,M,H
130206615,16,F,H
130206634,30,M,H
130206646,32,M,B
130206667,63,M,A
130206668,50,F,H
130206672,26,M,B
130206678,32,M,H
130206679,28,F,H
130206684,23,M,B
130206685,22,M,H
130206696,32,M,H
130206697,30,M,W
130206706,28,M,H
130206708,46,M,H
130206734,12,F,H
130206768,36,M,H
130206774,41,F,H
130206797,44,M,H
130206805,48,F,W
130206806,38,M,H
130206818,47,M,H
130206838,16,M,H
130206843,25,F,H
130206855,22,M,H
130206962,47,M,H
130207103,28,M,H
130207105,53,M,B
130207106,14,M,H
130207123,57,M,H
130207172,33,M,H
130207173,34,F,H
130207205,17,M,H
130207206,17,M,H
130207207,15,M,H
130207249,33,M,H
130207252,21,F,H
130207260,31,M,H
130207267,34,M,H
130207298,51,M,H
130207331,32,F,O
130207412,14,M,H
130207425,39,M,H
130207430,37,M,W
130207433,38,F,H
130207449,34,M,H
130207450,62,M,O
130207507,28,F,B
130207525,24,F,B
130207598,26,F,B
130207700,26,F,B
130207713,19,M,H
130207802,39,M,H
130207803,33,F,H
130207813,68,M,O
130207816,14,F,H
130207833,30,M,H
130207834,39,M,H
130207851,44,M,H
130207853,28,M,H
130207898,42,M,H
130207899,33,M,H
130207901,49,F,W
130207905,41,F,H
130207932,48,M,H
130207943,25,F,H
130207955,37,M,H
130208053,38,M,H
130208068,32,M,H
130208073,36,M,H
130208110,14,M,H
130208133,28,M,H
